county,cqr_census_2010_count,july1_2019_pop_est,jan1_2020_pop_est
Anderson,58458,59025,59120
Andrews,14786,19279,19588
Angelina,86771,90989,90669
Aransas,23158,23710,23649
Archer,9054,9228,9135
Armstrong,1901,2001,2028
Atascosa,44911,50898,51233
Austin,28417,32067,32344
Bailey,7165,7113,7082
Bandera,20485,23129,23360
Bastrop,74171,89564,90262
Baylor,3726,3751,3754
Bee,31861,33471,33571
Bell,310235,359255,362093
Bexar,1714773,1997417,2006193
Blanco,10497,12159,12365
Borden,641,680,686
Bosque,18212,19062,19146
Bowie,92565,96380,95897
Brazoria,313166,380439,382874
Brazos,194851,230789,233071
Brewster,9232,9092,9055
Briscoe,1637,1572,1599
Brooks,7223,7115,7060
Brown,38106,38993,38874
Burleson,17187,18373,18361
Burnet,42750,48716,49225
Caldwell,38066,43199,43501
Calhoun,21381,22028,22058
Callahan,13544,14070,14027
Cameron,406220,426210,426144
Camp,12401,12914,12936
Carson,6182,5951,5875
Cass,30464,30451,30243
Castro,8062,7380,7260
Chambers,35096,44298,44944
Cherokee,50845,53539,53558
Childress,7041,7038,7052
Clay,10752,10351,10317
Cochran,3127,2904,2890
Coke,3320,3390,3400
Coleman,8895,8191,8041
Collin,782341,1033046,1047901
Collingsworth,3057,2853,2802
Colorado,20874,22283,22566
Comal,108472,156317,161328
Comanche,13974,13878,13848
Concho,4087,2716,2715
Cooke,38437,40477,40685
Coryell,75388,75137,75657
Cottle,1505,1354,1346
Crane,4375,4678,4670
Crockett,3719,3461,3465
Crosby,6059,5702,5658
Culberson,2398,2211,2228
Dallam,6703,7053,6929
Dallas,2368139,2647576,2647627
Dawson,13833,12720,12652
Deaf Smith,19372,19572,19572
Delta,5231,5295,5304
Denton,662614,886563,904005
De Witt,20097,20611,20459
Dickens,2444,2119,2054
Dimmit,9996,9709,9426
Donley,3677,3228,3170
Duval,11782,10907,10860
Eastland,18583,18307,18278
Ector,137130,167383,169394
Edwards,2002,1959,1979
Ellis,149610,188464,191469
El Paso,800647,852224,851888
Erath,37890,43042,43110
Falls,17866,17401,17432
Fannin,33915,36230,36727
Fayette,24554,26328,26522
Fisher,3974,3859,3897
Floyd,6446,5535,5445
Foard,1336,1139,1102
Fort Bend,585375,805788,818912
Franklin,10605,10791,10792
Freestone,19816,20621,20732
Frio,17217,19103,18937
Gaines,17526,21170,21258
Galveston,291309,339931,341146
Garza,6461,6115,5978
Gillespie,24837,27375,27617
Glasscock,1226,1369,1363
Goliad,7210,8007,8127
Gonzales,19807,20769,20819
Gray,22535,21930,21900
Grayson,120877,135612,136052
Gregg,121730,126116,126225
Grimes,26604,29466,29730
Guadalupe,131533,166961,169139
Hale,36273,33165,32864
Hall,3353,3017,2969
Hamilton,8517,8641,8637
Hansford,5613,5327,5288
Hardeman,4139,3856,3873
Hardin,54635,59178,59592
Harris,4092459,4698655,4703708
Harrison,65631,68559,68703
Hartley,6062,5861,5887
Haskell,5899,5628,5572
Hays,157107,228364,232080
Hemphill,3807,3838,3827
Henderson,78532,82989,83220
Hidalgo,774773,886294,888958
Hill,35089,37069,37470
Hockley,22935,22862,22603
Hood,51182,60984,61387
Hopkins,35161,37312,37475
Houston,23732,23381,23439
Howard,35012,36294,36421
Hudspeth,3476,3680,3683
Hunt,86129,97842,98685
Hutchinson,22150,20550,20439
Irion,1599,1592,1584
Jack,9044,9265,9305
Jackson,14075,14561,14256
Jasper,35710,35726,35353
Jeff Davis,2342,2411,2408
Jefferson,252273,251590,250803
Jim Hogg,5300,5092,5079
Jim Wells,40838,40204,39759
Johnson,150934,174777,175987
Jones,20202,19697,19745
Karnes,14824,15508,15778
Kaufman,103350,135410,140667
Kendall,33410,47284,47700
Kenedy,416,390,378
Kent,808,759,754
Kerr,49625,52829,53024
Kimble,4607,4604,4581
King,286,274,275
Kinney,3598,3575,3594
Kleberg,32061,32135,32158
Knox,3719,3683,3796
Lamar,49793,50440,50436
Lamb,13977,12565,12412
Lampasas,19677,21326,21395
La Salle,6886,7426,7391
Lavaca,19263,20437,20511
Lee,16612,17411,17432
Leon,16801,17588,17649
Liberty,75643,91098,93496
Limestone,23384,23709,23654
Lipscomb,3302,3208,3153
Live Oak,11531,12164,12208
Llano,19301,21784,21890
Loving,82,96,96
Lubbock,278831,308880,309880
Lynn,5915,6151,6243
McCulloch,8283,8323,8313
McLennan,234906,255400,255372
McMullen,707,749,748
Madison,13664,14188,14088
Marion,10546,9760,9662
Martin,4799,5731,5739
Mason,4012,4301,4318
Matagorda,36702,36292,36158
Maverick,54258,57888,58116
Medina,46006,53794,54612
Menard,2242,2128,2124
Midland,136872,176814,179232
Milam,24757,25185,25157
Mills,4936,4899,4875
Mitchell,9403,8531,8685
Montague,19719,19695,19712
Montgomery,455746,604391,609172
Moore,21904,21046,20902
Morris,12934,12428,12468
Motley,1210,1205,1196
Nacogdoches,64524,65027,64850
Navarro,47735,52013,52973
Newton,14445,13317,13103
Nolan,15216,14256,14150
Nueces,340223,363049,363776
Ochiltree,10223,10219,10246
Oldham,2052,2126,2131
Orange,81837,82461,82168
Palo Pinto,28111,29008,29069
Panola,23796,24586,24611
Parker,116927,141080,143504
Parmer,10269,9501,9325
Pecos,15507,15052,15033
Polk,45413,50293,50717
Potter,121073,116063,115471
Presidio,7818,6535,6302
Rains,10914,12416,12493
Randall,120725,139034,138549
Reagan,3367,3836,3895
Real,3309,3499,3464
Red River,12860,11649,11479
Reeves,13783,16154,16400
Refugio,7383,6871,6844
Roberts,929,851,832
Robertson,16622,17708,17613
Rockwall,78337,103363,105969
Runnels,10501,10121,10218
Rusk,53330,54526,54764
Sabine,10834,10917,10859
San Augustine,8865,8458,8409
San Jacinto,26384,29506,29652
San Patricio,64804,66688,67033
San Saba,6131,6227,6223
Schleicher,3461,2822,2727
Scurry,16921,16697,16556
Shackelford,3378,3382,3415
Shelby,25448,24249,24054
Sherman,3034,3077,3072
Smith,209714,231516,232675
Somervell,8490,9569,9605
Starr,60968,63690,63688
Stephens,9630,9556,9506
Sterling,1143,1254,1239
Stonewall,1490,1382,1380
Sutton,4128,3664,3619
Swisher,7854,7439,7435
Tarrant,1809034,2060239,2063496
Taylor,131506,139044,139083
Terrell,984,794,776
Terry,12651,12544,12538
Throckmorton,1641,1448,1407
Titus,32334,33690,33596
Tom Green,110224,117613,117791
Travis,1024266,1273554,1285526
Trinity,14585,14530,14457
Tyler,21766,22735,22966
Upshur,39309,41204,41262
Upton,3355,3619,3581
Uvalde,26405,26743,26260
Val Verde,48879,50853,50988
Van Zandt,52579,56376,56503
Victoria,86793,91329,90940
Walker,67861,75949,77300
Waller,43205,54822,55626
Ward,10658,11530,11635
Washington,33718,35570,35612
Webb,250304,280775,280547
Wharton,41280,41224,41279
Wheeler,5410,5178,5168
Wichita,131500,132920,132756
Wilbarger,13535,12465,12393
Willacy,22134,21566,21502
Williamson,422679,589216,602686
Wilson,42918,52127,52839
Winkler,7110,7990,8145
Wise,59127,69609,70078
Wood,41964,45084,45528
Yoakum,7879,8829,8773
Young,18550,19029,19294
Zapata,14018,14196,14280
Zavala,11677,12116,12077
State of Texas,25145565,29001602,29149480
